en,review_times,correct_times,avg_correct_rate,avg_elapsed_time,total_elapsed_time
fallow,1,0,0.0,38.06,38.06
barley,1,1,1.0,36.61,36.61
patriot,4,4,1.0,13.72,54.87
diversity,1,1,1.0,13.52,13.52
agrarian,2,2,1.0,10.8,21.61
intensive,2,1,0.5,9.86,19.72
provision,1,0,0.0,9.65,9.65
region,1,1,1.0,9.44,9.44
delegation,1,0,0.0,8.24,8.24
declaration,1,1,1.0,7.82,7.82
plantation,3,2,0.67,7.43,22.28
hotbed,1,1,1.0,7.07,7.07
cultivation,1,0,0.0,6.82,6.82
delegate,3,3,1.0,6.54,19.62
disparity,1,1,1.0,6.11,6.11
immigrant,2,2,1.0,6.09,12.18
vegetation,3,3,1.0,6.03,18.1
degrade,2,2,1.0,5.8,11.6
barrier,3,3,1.0,5.73,17.189999999999998
the New Deal (policy),2,1,0.5,5.2,10.39
colonial,1,1,1.0,5.08,5.08
declare,2,2,1.0,5.04,10.08
halt,2,2,1.0,5.01,10.02
surrender,2,2,1.0,4.87,9.74
remedy,1,1,1.0,4.87,4.87
patriotism,1,1,1.0,4.85,4.85
Pueblo,3,3,1.0,3.9,11.7
act,1,0,0.0,3.59,3.59
windmill,4,3,0.75,3.48,13.91
subterranean,1,1,1.0,3.46,3.46
barn,2,2,1.0,3.41,6.82
mobility,1,1,1.0,3.01,3.01
plow,2,2,1.0,2.99,5.970000000000001
melting pot,4,4,1.0,2.99,11.950000000000001
legislation,3,3,1.0,2.98,8.93
depletion,2,2,1.0,2.92,5.83
millet,1,1,1.0,2.89,2.89
dairy,1,1,1.0,2.85,2.85
verge,3,3,1.0,2.84,8.52
cooperation,1,1,1.0,2.76,2.76
recession,1,1,1.0,2.73,2.73
raid,1,0,0.0,2.69,2.69
Puritan,1,1,1.0,2.67,2.67
tackle,1,1,1.0,2.65,2.65
abolition,1,1,1.0,2.57,2.57
Topic_02_American_Studies,2,2,1.0,2.41,4.82
fertilizer,1,1,1.0,2.3,2.3
consent,2,2,1.0,2.21,4.42
basil,2,2,1.0,2.18,4.36
soil fertility,1,1,1.0,2.13,2.13
nutrient,1,1,1.0,2.13,2.13
racist,1,1,1.0,2.13,2.13
bison,5,5,1.0,2.08,10.420000000000002
wheat,1,1,1.0,2.05,2.05
eradicate,1,1,1.0,1.92,1.92
nullify,1,1,1.0,1.81,1.81
congress,1,1,1.0,1.56,1.56
soil conservation,1,1,1.0,1.54,1.54
prune,1,1,1.0,1.51,1.51
Topic_01_Agriculture,0,0,,,0.0
agronomist,0,0,,,0.0
crop,0,0,,,0.0
cropland,0,0,,,0.0
grain,0,0,,,0.0
sow,0,0,,,0.0
soil,0,0,,,0.0
exhaustion,0,0,,,0.0
weed,0,0,,,0.0
regenerate,0,0,,,0.0
the slash-and-burn method,0,0,,,0.0
hoe,0,0,,,0.0
agrichemical,0,0,,,0.0
herbicide,0,0,,,0.0
livestock,0,0,,,0.0
deplete,0,0,,,0.0
proponent,0,0,,,0.0
integrate,0,0,,,0.0
nomadic,0,0,,,0.0
adobe,0,0,,,0.0
abolish,0,0,,,0.0
repeal,0,0,,,0.0
fort,0,0,,,0.0
depression,0,0,,,0.0
mobilize,0,0,,,0.0
abolitionism,0,0,,,0.0
desegregation,0,0,,,0.0
Civil Rights Movement,0,0,,,0.0
racial,0,0,,,0.0
racism,0,0,,,0.0
integration,0,0,,,0.0
poverty line,0,0,,,0.0
alienate,0,0,,,0.0
