en,review_times,correct_times,avg_correct_rate,avg_elapsed_time,total_elapsed_time
abject,1,0,0.0,34.26,34.26
vicissitude,1,0,0.0,33.07,33.07
animadvert,1,1,1.0,26.1,26.1
pedantic,1,0,0.0,25.34,25.34
celerity,1,1,1.0,24.19,24.19
oblivious,1,1,1.0,21.48,21.48
perquisite,1,0,0.0,21.04,21.04
exempt,1,0,0.0,19.72,19.72
free-for-all,1,0,0.0,19.72,19.72
demystify,1,1,1.0,19.49,19.49
adherent,1,0,0.0,18.79,18.79
malefactor,1,0,0.0,18.68,18.68
demonstrable,1,1,1.0,18.38,18.38
rumination,1,1,1.0,17.33,17.33
quandary,1,1,1.0,17.18,17.18
forage,1,1,1.0,17.01,17.01
provenance,1,1,1.0,17.0,17.0
invective,2,1,0.5,16.92,33.84
bearing,2,1,0.5,15.78,31.56
fathom,1,1,1.0,15.14,15.14
augur,2,1,0.5,14.71,29.42
didactic,1,1,1.0,14.69,14.69
prophylactic,1,1,1.0,14.47,14.47
resplendent,1,0,0.0,14.4,14.4
innocuous,2,2,1.0,14.32,28.65
mendacity,2,2,1.0,14.04,28.07
extirpate,1,1,1.0,13.91,13.91
muddle,1,1,1.0,13.79,13.79
imitative,1,1,1.0,13.34,13.34
pertinacity,1,1,1.0,13.01,13.01
hamstring,1,1,1.0,12.52,12.52
inferable from,1,0,0.0,12.48,12.48
desultory,2,0,0.0,12.36,24.73
forsake,1,0,0.0,12.34,12.34
begrudging,1,0,0.0,12.28,12.28
anomalous,1,1,1.0,11.82,11.82
list,1,1,1.0,11.74,11.74
benediction,2,2,1.0,11.71,23.42
pigeonhole,1,0,0.0,11.43,11.43
privy,1,0,0.0,11.3,11.3
perpetuate,1,1,1.0,11.3,11.3
requiem,1,0,0.0,11.26,11.26
supercilious,1,1,1.0,11.05,11.05
luminary,1,1,1.0,10.9,10.9
ignominious,1,1,1.0,10.84,10.84
servile,1,1,1.0,10.79,10.79
mystification,1,1,1.0,10.75,10.75
penitential,2,0,0.0,10.66,21.32
scathing,1,1,1.0,10.62,10.62
viable,1,1,1.0,10.59,10.59
fallacy,1,1,1.0,10.58,10.58
dismantle,3,3,1.0,10.47,31.410000000000004
incentive,1,1,1.0,10.25,10.25
dissemble,1,1,1.0,10.12,10.12
baffle,1,1,1.0,10.07,10.07
prominent,2,2,1.0,10.06,20.12
monochromatic,1,1,1.0,10.06,10.06
flabbergast,2,2,1.0,10.03,20.06
disconsolate,2,2,1.0,10.0,20.0
mute,1,1,1.0,9.91,9.91
caviling,1,1,1.0,9.84,9.84
churlish,1,1,1.0,9.84,9.84
exiguous,1,0,0.0,9.82,9.82
unfathomable,2,2,1.0,9.74,19.48
compassionate,1,1,1.0,9.74,9.74
overarching,1,1,1.0,9.59,9.59
impregnable,1,1,1.0,9.5,9.5
negligent,1,1,1.0,9.35,9.35
hew,1,0,0.0,9.3,9.3
detection,1,1,1.0,9.25,9.25
brandish,1,0,0.0,9.22,9.22
demean,1,1,1.0,9.22,9.22
reminisce,2,2,1.0,9.2,18.39
demarcate,2,2,1.0,9.17,18.34
convert,1,1,1.0,9.04,9.04
respect,1,1,1.0,8.96,8.96
cerebral,1,1,1.0,8.83,8.83
anatomical,1,1,1.0,8.76,8.76
incorrigible,4,2,0.5,8.65,34.59
confess,1,1,1.0,8.62,8.62
aplomb,1,0,0.0,8.6,8.6
precarious,1,1,1.0,8.59,8.59
sedulous,1,1,1.0,8.53,8.53
intermittent,2,2,1.0,8.51,17.01
inhibit,1,1,1.0,8.46,8.46
disparate,2,2,1.0,8.44,16.89
discredit,1,1,1.0,8.4,8.4
permeate,1,1,1.0,8.21,8.21
revitalize,2,2,1.0,8.16,16.310000000000002
overt,1,1,1.0,8.12,8.12
moralistic,1,1,1.0,8.12,8.12
aphorism,1,1,1.0,8.06,8.06
imperious,2,2,1.0,7.99,15.98
imperious,2,2,1.0,7.99,15.98
presume,1,1,1.0,7.98,7.98
imperil,1,0,0.0,7.9,7.9
savor,2,2,1.0,7.87,15.739999999999998
agenda,1,1,1.0,7.86,7.86
delusive,2,1,0.5,7.81,15.62
industrious,1,1,1.0,7.75,7.75
apocryphal,3,2,0.67,7.74,23.21
gregarious,3,2,0.67,7.73,23.18
discreet,1,1,1.0,7.68,7.68
haphazard,2,2,1.0,7.66,15.31
sift,1,1,1.0,7.58,7.58
anneal,1,0,0.0,7.49,7.49
ephemeral,1,1,1.0,7.49,7.49
impromptu,1,1,1.0,7.46,7.46
evince,1,0,0.0,7.28,7.28
deprecate,1,1,1.0,7.23,7.23
fanfare,1,1,1.0,7.17,7.17
gauge,2,0,0.0,7.09,14.170000000000002
agitated,1,1,1.0,6.98,6.98
petrify,1,1,1.0,6.93,6.93
solicit,2,2,1.0,6.92,13.83
timorous,1,1,1.0,6.87,6.87
clear-cut,1,1,1.0,6.85,6.85
tedious,1,1,1.0,6.78,6.78
amend,1,1,1.0,6.78,6.78
attune,1,1,1.0,6.66,6.66
malinger,1,1,1.0,6.65,6.65
probity,1,1,1.0,6.64,6.64
turbulent,1,1,1.0,6.62,6.62
finesse,1,1,1.0,6.6,6.6
preeminent,1,1,1.0,6.54,6.54
demise,1,1,1.0,6.52,6.52
elegy,1,1,1.0,6.5,6.5
irrevocable,1,1,1.0,6.49,6.49
scintillating,1,1,1.0,6.48,6.48
pathos,1,1,1.0,6.48,6.48
equitable,1,1,1.0,6.46,6.46
factotum,1,0,0.0,6.41,6.41
patriarchal,1,1,1.0,6.39,6.39
accretion,1,1,1.0,6.31,6.31
instructive,1,1,1.0,6.24,6.24
optimistic,1,1,1.0,6.24,6.24
apprehend,3,3,1.0,6.22,18.66
pernicious,1,1,1.0,6.22,6.22
sanction,2,2,1.0,6.22,12.43
incubate,1,1,1.0,6.09,6.09
illustrious,2,2,1.0,6.06,12.13
myopia,2,2,1.0,6.04,12.07
supplant,1,1,1.0,6.01,6.01
lucid,1,1,1.0,5.99,5.99
n. 燃燒彈，縱火犯,1,1,1.0,5.98,5.98
serendipitous,1,1,1.0,5.9,5.9
buttress,1,1,1.0,5.89,5.89
innocence,1,1,1.0,5.87,5.87
adj. 衰敗的、墮落的,1,1,1.0,5.87,5.87
integral,1,1,1.0,5.85,5.85
n. 傳令官,1,1,1.0,5.82,5.82
quarrel,1,1,1.0,5.78,5.78
scourge,1,0,0.0,5.73,5.73
defamatory,3,3,1.0,5.71,17.13
aggravate,1,1,1.0,5.71,5.71
remarkable,1,1,1.0,5.7,5.7
devolve,1,1,1.0,5.69,5.69
magnanimous,1,1,1.0,5.63,5.63
impending,1,1,1.0,5.62,5.62
parochial,1,1,1.0,5.56,5.56
perverse,1,1,1.0,5.53,5.53
expedient,1,1,1.0,5.53,5.53
scintillate,1,1,1.0,5.5,5.5
obligatory,2,1,0.5,5.44,10.88
benefactor,2,2,1.0,5.41,10.82
neophyte,1,1,1.0,5.34,5.34
ostensible,2,2,1.0,5.28,10.57
detached,1,1,1.0,5.24,5.24
vindictive,1,1,1.0,5.23,5.23
humdrum,1,1,1.0,5.22,5.22
venal,1,0,0.0,5.21,5.21
affinity,1,1,1.0,5.2,5.2
sequacious,1,1,1.0,5.2,5.2
outgrowth,1,0,0.0,5.19,5.19
ingratiate,2,2,1.0,5.19,10.38
heterogeneous,1,1,1.0,5.18,5.18
compatible,1,1,1.0,5.18,5.18
adept,1,1,1.0,5.16,5.16
adept,1,1,1.0,5.16,5.16
canned,1,1,1.0,5.15,5.15
insubstantial,2,2,1.0,5.15,10.3
guile,1,1,1.0,5.12,5.12
obviate,2,2,1.0,5.09,10.18
inert,1,1,1.0,5.09,5.09
primacy,1,1,1.0,5.05,5.05
typify,1,1,1.0,5.0,5.0
knotty,1,0,0.0,4.99,4.99
purify,1,0,0.0,4.98,4.98
fungible,1,0,0.0,4.97,4.97
robust,2,2,1.0,4.94,9.88
incessant,3,3,1.0,4.91,14.73
idolatrize,1,1,1.0,4.9,4.9
grandiloquence,1,1,1.0,4.89,4.89
notwithstanding,2,2,1.0,4.86,9.73
bogus,1,1,1.0,4.85,4.85
artful,1,1,1.0,4.84,4.84
valediction,1,1,1.0,4.82,4.82
vacant,1,1,1.0,4.81,4.81
diffuse,1,1,1.0,4.81,4.81
egregious,2,2,1.0,4.8,9.6
oration,1,1,1.0,4.8,4.8
conscientious,1,1,1.0,4.79,4.79
submission,1,1,1.0,4.79,4.79
fortuitous,1,1,1.0,4.76,4.76
impetus,1,1,1.0,4.74,4.74
decipher,1,1,1.0,4.73,4.73
contingent,2,2,1.0,4.7,9.4
premeditate,1,1,1.0,4.67,4.67
rebellious,1,1,1.0,4.67,4.67
caustic,2,1,0.5,4.62,9.23
abstemious,1,1,1.0,4.62,4.62
obstrusive,2,2,1.0,4.61,9.21
pronounced,1,1,1.0,4.59,4.59
amnesty,1,1,1.0,4.58,4.58
quintessential,1,1,1.0,4.56,4.56
peripatetic,1,1,1.0,4.54,4.54
veracious,1,1,1.0,4.52,4.52
pretentious,1,1,1.0,4.52,4.52
calumnious,1,0,0.0,4.5,4.5
leaven,1,1,1.0,4.48,4.48
foil,1,1,1.0,4.48,4.48
virtual,1,1,1.0,4.45,4.45
attenuate,1,1,1.0,4.44,4.44
sketchy,1,1,1.0,4.44,4.44
meditate,4,4,1.0,4.4,17.6
profuse,1,1,1.0,4.4,4.4
n. 喜好；想像；幻想,1,1,1.0,4.39,4.39
insolent,2,2,1.0,4.38,8.77
nonchalant,1,1,1.0,4.36,4.36
accrue,1,1,1.0,4.35,4.35
ascendancy,1,1,1.0,4.33,4.33
elude,1,1,1.0,4.33,4.33
assure,1,1,1.0,4.31,4.31
placate,1,1,1.0,4.28,4.28
atrocity,1,1,1.0,4.25,4.25
disrupt,1,1,1.0,4.24,4.24
susceptible,1,1,1.0,4.15,4.15
encomium,1,1,1.0,4.08,4.08
foment,1,1,1.0,4.05,4.05
confide,1,1,1.0,4.05,4.05
specious,1,1,1.0,4.01,4.01
interrogate,1,1,1.0,4.01,4.01
august,2,2,1.0,4.0,8.0
apostasy,1,1,1.0,4.0,4.0
intelligible,2,2,1.0,4.0,8.0
evasive,2,2,1.0,3.99,7.9700000000000015
parsimonious,2,2,1.0,3.99,7.98
preliminary,1,1,1.0,3.98,3.98
reciprocity,1,1,1.0,3.97,3.97
philanthropic,1,1,1.0,3.97,3.97
suspend,1,1,1.0,3.96,3.96
harbor,4,4,1.0,3.96,15.84
outlandish,2,1,0.5,3.95,7.9
disinterested,4,4,1.0,3.95,15.81
disinterested,4,4,1.0,3.95,15.81
heterodox,2,2,1.0,3.94,7.880000000000001
dispatch,2,2,1.0,3.93,7.86
unmistakable,1,1,1.0,3.92,3.92
barrage,1,0,0.0,3.91,3.91
increment,1,1,1.0,3.91,3.91
arcane,1,1,1.0,3.91,3.91
primal,2,2,1.0,3.9,7.79
pompous,1,1,1.0,3.89,3.89
surreptitious,3,3,1.0,3.88,11.64
undeterred,1,1,1.0,3.88,3.88
dispense,2,2,1.0,3.86,7.71
ameliorate,1,1,1.0,3.86,3.86
hunch,1,1,1.0,3.85,3.85
amnesia,2,2,1.0,3.84,7.67
covert,1,1,1.0,3.84,3.84
demotic,1,1,1.0,3.83,3.83
proclaim,1,1,1.0,3.81,3.81
amity,1,1,1.0,3.77,3.77
predicament,1,1,1.0,3.77,3.77
exhaustive,1,1,1.0,3.77,3.77
superfluous,1,1,1.0,3.76,3.76
synoptic,2,2,1.0,3.76,7.52
tepid,1,1,1.0,3.75,3.75
instigate,1,1,1.0,3.73,3.73
symmetry,6,5,0.83,3.7,22.19
humble,1,1,1.0,3.7,3.7
plausible,1,1,1.0,3.7,3.7
incinerate,1,1,1.0,3.69,3.69
flamboyant,1,1,1.0,3.68,3.68
revert,1,1,1.0,3.67,3.67
obfuscate,2,2,1.0,3.66,7.32
mania,1,1,1.0,3.65,3.65
extravagant,3,3,1.0,3.65,10.96
nepotism,2,2,1.0,3.64,7.27
magnitude,1,1,1.0,3.64,3.64
discern,1,1,1.0,3.63,3.63
photosensitive,1,1,1.0,3.62,3.62
