en,review_times,correct_times,avg_correct_rate,avg_elapsed_time,total_elapsed_time
luxur,4,1,0.25,78.41,313.65
belie,1,1,1.0,70.29,70.29
allure,1,1,1.0,60.82,60.82
prerogative,1,1,1.0,45.79,45.79
rumination,3,0,0.0,38.17,114.5
impeachable,1,1,1.0,36.09,36.09
patronage,3,2,0.67,34.47,103.4
numinous,2,0,0.0,34.3,68.6
imperious,1,1,1.0,34.22,34.22
imperious,1,1,1.0,34.22,34.22
anonymity,3,3,1.0,33.73,101.2
devious,3,2,0.67,33.24,99.72
disabuse,5,4,0.8,32.96,164.81
portentous,1,1,1.0,32.85,32.85
camouflage,3,0,0.0,32.0,96.0
fervent,2,2,1.0,30.04,60.08
exodus,4,2,0.5,28.31,113.25
punurious,4,2,0.5,27.89,111.57
inspired,1,1,1.0,27.15,27.15
exiguous,1,1,1.0,27.09,27.09
prav,1,1,1.0,26.8,26.8
luxuriant,1,1,1.0,26.41,26.41
tumultuous,3,3,1.0,26.13,78.4
ordeal,4,1,0.25,24.58,98.33
eclectic,1,1,1.0,24.25,24.25
revile,3,3,1.0,24.23,72.67999999999998
advocate,1,0,0.0,24.18,24.18
pedagogic,11,9,0.82,23.01,253.12
pedagogic,11,9,0.82,23.01,253.12
metamorphose,1,1,1.0,22.94,22.94
bespeak,4,3,0.75,22.91,91.64
imperturbable,5,2,0.4,22.79,113.96
"mut, change",1,1,1.0,22.73,22.73
vernacular,3,1,0.33,22.1,66.31
drollness,8,5,0.62,22.1,176.82
unobtrusive,2,1,0.5,21.86,43.73
accuse,1,1,1.0,21.45,21.45
acquisitive,2,2,1.0,20.66,41.32000000000001
buttress,3,3,1.0,20.45,61.36000000000001
peculate,2,0,0.0,19.76,39.52
restrain,1,1,1.0,19.61,19.61
erudite,1,1,1.0,19.11,19.11
complacent,1,1,1.0,18.43,18.43
inquisitive,1,1,1.0,18.37,18.37
impertinent,3,0,0.0,18.35,55.040000000000006
contemplate,1,1,1.0,18.25,18.25
stimulus,1,1,1.0,17.9,17.9
vacuous,1,1,1.0,17.7,17.7
calumnious,3,3,1.0,17.6,52.81
melliflous,3,1,0.33,17.34,52.02
sophistry,3,2,0.67,17.02,51.06
imperil,1,1,1.0,16.79,16.79
derelict,4,3,0.75,16.74,66.95
virulence,5,2,0.4,16.72,83.60000000000002
nonviable,3,2,0.67,16.66,49.98
constrain,2,1,0.5,16.64,33.27
"tend, tens, tent",1,1,1.0,16.59,16.59
combustible,2,1,0.5,16.5,32.99
impervious,2,0,0.0,16.42,32.84
laudatory,1,1,1.0,16.4,16.4
arbitrate,2,1,0.5,16.39,32.78
prescient,2,1,0.5,16.37,32.74
provisional,3,3,1.0,16.28,48.84
ominous,1,1,1.0,16.1,16.1
detour,1,1,1.0,16.05,16.05
impart,3,3,1.0,15.86,47.57
mit,5,4,0.8,15.73,78.64
convection,8,5,0.62,15.53,124.27
tect,2,0,0.0,15.5,30.99
obsequious,3,3,1.0,15.37,46.1
augur,4,3,0.75,15.28,61.12
lips,1,0,0.0,15.27,15.27
barometer,1,1,1.0,15.19,15.19
divergent,5,5,1.0,15.11,75.55
divergent,5,5,1.0,15.11,75.55
crabby,3,3,1.0,15.08,45.23
liber,2,2,1.0,15.0,29.99
presage,3,3,1.0,15.0,45.0
oblivious,4,3,0.75,14.76,59.05
sustenance,1,0,0.0,14.7,14.7
pronounced,2,1,0.5,14.7,29.41
efficacious,2,1,0.5,14.68,29.35
enfeeble,1,1,1.0,14.67,14.67
privilege,1,1,1.0,14.66,14.66
extort,6,2,0.33,14.56,87.36
trespass,1,1,1.0,14.56,14.56
plenty,2,2,1.0,14.56,29.13
treat,3,3,1.0,14.56,43.69000000000001
opprobrium,1,1,1.0,14.31,14.31
superlative,4,2,0.5,14.18,56.71
austere,2,2,1.0,14.17,28.34
mutilate,1,0,0.0,14.08,14.08
slapdash,4,3,0.75,14.04,56.14
compendium,3,3,1.0,13.88,41.64
amnesia,2,2,1.0,13.7,27.39
voluble,2,2,1.0,13.67,27.34
physiological,2,2,1.0,13.54,27.07
chicanery,3,0,0.0,13.48,40.45
type,1,1,1.0,13.48,13.48
secular,1,0,0.0,13.47,13.47
"vict, vinc",3,3,1.0,13.46,40.39
obeisance,5,3,0.6,13.43,67.17
verify,2,2,1.0,13.35,26.70000000000001
glamorous,3,1,0.33,13.3,39.9
servile,2,1,0.5,13.23,26.46
illusion,1,1,1.0,13.15,13.15
adventurous,3,3,1.0,13.1,39.3
skulduggery,5,3,0.6,13.09,65.45
descry,5,4,0.8,13.04,65.18
doldrums,5,4,0.8,13.02,65.08000000000001
particulate,1,1,1.0,12.97,12.97
erratic,1,1,1.0,12.95,12.95
terrace,3,1,0.33,12.77,38.3
impetuous,4,3,0.75,12.74,50.96
disseminate,8,8,1.0,12.74,101.91
concil,3,3,1.0,12.73,38.18
dissemble,1,1,1.0,12.71,12.71
approbation,1,0,0.0,12.7,12.7
